Date,Amount (INR),Category,Description
2024-02-26,476.25,Entertainment,Movie tickets
2024-02-27,737.78,Entertainment,Netflix subscription
2024-02-27,1254.49,Health,Pharmacy purchase
2024-03-01,629.7,Entertainment,Bowling night
2024-03-03,5094.35,Groceries,Online grocery order
2024-03-03,782.31,Dining Out,Pizza night
2024-03-05,1167.64,Health,Pharmacy purchase
2024-03-06,765.49,Utilities,Gas bill
2024-03-08,458.96,Entertainment,Movie tickets
2024-03-10,4812.64,Groceries,General store purchase
2024-03-11,955.02,Dining Out,Dinner at restaurant
2024-03-11,16223.68,Rent,Apartment rent payment
2024-03-12,1254.64,Utilities,Water bill
2024-03-13,752.73,Entertainment,Netflix subscription
2024-03-14,1301.6,Dining Out,Cafe visit
2024-03-14,611.59,Dining Out,Takeaway food
2024-03-14,1160.76,Transport,Fuel for bike
2024-03-15,1182.54,Transport,Auto fare
2024-03-15,768.54,Dining Out,Lunch with friends
2024-03-15,7347.84,Savings,Monthly SIP investment
2024-03-15,1596.68,Utilities,Electricity bill
2024-03-16,1617.07,Health,Doctor consultation
2024-03-18,4460.21,Groceries,Vegetable market purchase
2024-03-19,936.36,Shopping,Footwear
2024-03-19,4562.07,Groceries,Supermarket purchase
2024-03-21,821.43,Transport,Metro card recharge
2024-03-22,884.4,Transport,Uber ride
2024-03-23,1044.52,Utilities,Internet bill
2024-03-23,1405.97,Transport,Parking fee
2024-03-24,1500.65,Shopping,New clothes
2024-03-27,1904.69,Shopping,Online purchase
2024-03-27,4073.7,Groceries,Monthly groceries at D-Mart
2024-03-30,2157.46,Insurance,Health insurance premium
2024-04-01,788.15,Utilities,Gas bill
2024-04-01,1174.73,Health,Pharmacy purchase
2024-04-02,1541.02,Utilities,Electricity bill
2024-04-02,1138.52,Transport,Fuel for bike
2024-04-05,1221.46,Utilities,Water bill
2024-04-07,964.01,Dining Out,Dinner at restaurant
2024-04-08,842.46,Shopping,Footwear
2024-04-08,16500.92,Rent,Apartment rent payment
2024-04-08,1031.06,Utilities,Internet bill
2024-04-08,812.96,Dining Out,Pizza night
2024-04-09,1988.16,Insurance,Health insurance premium
2024-04-09,807.92,Transport,Metro card recharge
2024-04-10,546.01,Entertainment,Movie tickets
2024-04-11,4402.4,Groceries,Supermarket purchase
2024-04-12,5037.66,Groceries,Online grocery order
2024-04-13,1165.43,Transport,Auto fare
2024-04-13,1461.6,Health,Doctor consultation
2024-04-16,4518.69,Groceries,Vegetable market purchase
2024-04-17,750.15,Dining Out,Lunch with friends
2024-04-17,1577.02,Shopping,New clothes
2024-04-19,645.76,Entertainment,Bowling night
2024-04-19,1600.55,Transport,Parking fee
2024-04-20,574.06,Dining Out,Takeaway food
2024-04-20,7698.44,Savings,Monthly SIP investment
2024-04-21,808.12,Entertainment,Netflix subscription
2024-04-21,1804.91,Shopping,Online purchase
2024-04-22,4368.71,Groceries,General store purchase
2024-04-24,1226.87,Dining Out,Cafe visit
2024-04-26,3871.22,Groceries,Monthly groceries at D-Mart
2024-04-28,865.54,Transport,Uber ride
2024-05-02,874.49,Dining Out,Pizza night
2024-05-03,983.33,Shopping,Footwear
2024-05-03,651.13,Dining Out,Takeaway food
2024-05-03,1562.13,Transport,Parking fee
2024-05-04,863.09,Transport,Uber ride
2024-05-04,1149.14,Dining Out,Cafe visit
2024-05-05,723.9,Utilities,Gas bill
2024-05-07,2006.51,Insurance,Health insurance premium
2024-05-10,4174.72,Groceries,Monthly groceries at D-Mart
2024-05-11,1160.42,Transport,Fuel for bike
2024-05-11,3833.92,Groceries,Vegetable market purchase
2024-05-11,4391.7,Groceries,Supermarket purchase
2024-05-13,1187.74,Health,Pharmacy purchase
2024-05-14,759.23,Transport,Metro card recharge
2024-05-14,7129.55,Savings,Monthly SIP investment
2024-05-16,732.23,Dining Out,Lunch with friends
2024-05-16,919.05,Utilities,Internet bill
2024-05-16,1105.27,Utilities,Water bill
2024-05-18,941.68,Dining Out,Dinner at restaurant
2024-05-18,1469.18,Shopping,New clothes
2024-05-19,1055.3,Transport,Auto fare
2024-05-20,622.56,Entertainment,Bowling night
2024-05-21,509.03,Entertainment,Movie tickets
2024-05-21,829.12,Entertainment,Netflix subscription
2024-05-24,1844.85,Shopping,Online purchase
2024-05-24,1465.81,Health,Doctor consultation
2024-05-26,4614.63,Groceries,Online grocery order
2024-05-26,4272.7,Groceries,General store purchase
2024-05-28,1534.74,Utilities,Electricity bill
2024-05-28,17760.41,Rent,Apartment rent payment
2024-06-02,848.86,Entertainment,Netflix subscription
2024-06-02,873.22,Shopping,Footwear
2024-06-03,986.34,Dining Out,Dinner at restaurant
2024-06-05,1118.62,Health,Pharmacy purchase
2024-06-06,1505.73,Transport,Parking fee
2024-06-07,794.99,Dining Out,Pizza night
2024-06-08,1409.57,Health,Doctor consultation
2024-06-09,799.01,Utilities,Gas bill
2024-06-09,1044.94,Transport,Auto fare
2024-06-10,1284.91,Utilities,Water bill
2024-06-10,729.69,Dining Out,Lunch with friends
2024-06-11,800.61,Transport,Metro card recharge
2024-06-11,887.87,Transport,Uber ride
2024-06-11,5127.53,Groceries,Online grocery order
2024-06-16,19432.35,Rent,Apartment rent payment
2024-06-16,3562.67,Groceries,Monthly groceries at D-Mart
2024-06-18,1456.32,Shopping,New clothes
2024-06-18,1822.7,Shopping,Online purchase
2024-06-18,941.74,Utilities,Internet bill
2024-06-19,4833.52,Groceries,Supermarket purchase
2024-06-21,4929.85,Groceries,General store purchase
2024-06-22,462.71,Entertainment,Movie tickets
2024-06-23,542.18,Dining Out,Takeaway food
2024-06-24,6407.24,Savings,Monthly SIP investment
2024-06-26,2129.79,Insurance,Health insurance premium
2024-06-27,1182.14,Transport,Fuel for bike
2024-06-27,607.28,Entertainment,Bowling night
2024-06-28,1225.54,Dining Out,Cafe visit
2024-06-28,4491.43,Groceries,Vegetable market purchase
2024-06-28,1404.37,Utilities,Electricity bill
